"Constructor Name","Constructor URL","Engine Manufacturer","Licensed In Country","Base Country","Seasons Active","Wins"
"Wayne Ewing","https://en.wikipedia.org/wiki/Wayne_Ewing","","United States","United States","",""
"Hall","","","United States","United States","",""
"Eddie Kuzma","https://en.wikipedia.org/wiki/Eddie_Kuzma","","United States","United States","",""
"Langley","https://en.wikipedia.org/wiki/Langley_(constructor)","","United States","United States","",""
"Lesovsky","https://en.wikipedia.org/wiki/Lesovsky","","United States","United States","",""
"Carl Marchese","https://en.wikipedia.org/wiki/Carl_Marchese","","United States","United States","",""
"Meskowski","https://en.wikipedia.org/wiki/Meskowski","","United States","United States","",""
"Lou Moore","https://en.wikipedia.org/wiki/Lou_Moore","","United States","United States","",""
"Nichels","https://en.wikipedia.org/wiki/Nichels","","United States","United States","",""
"Olson","https://en.wikipedia.org/wiki/Olson_(constructor)","","United States","United States","",""
"Pankratz","https://en.wikipedia.org/wiki/Pankratz","","United States","United States","",""
"Pawl","https://en.wikipedia.org/wiki/Pawl_(constructor)","","United States","United States","",""
"Phillips","https://en.wikipedia.org/wiki/Phillips_(constructor)","","United States","United States","",""
"Johnny Rae","https://en.wikipedia.org/wiki/Johnny_Rae_(motorsport)","","United States","United States","",""
"George Salih","https://en.wikipedia.org/wiki/George_Salih","","United States","United States","",""
"Schroeder","https://en.wikipedia.org/wiki/Schroeder_(constructor)","","United States","United States","",""
"Sherman","https://en.wikipedia.org/wiki/Sherman_(constructor)","","United States","United States","",""
"Russ Snowberger","https://en.wikipedia.org/wiki/Russ_Snowberger","","United States","United States","",""
"Stevens","https://en.wikipedia.org/wiki/Stevens_(constructor)","","United States","United States","",""
"Sutton","https://en.wikipedia.org/wiki/Sutton_(constructor)","","United States","United States","",""
"Trevis","https://en.wikipedia.org/wiki/Trevis_(constructor)","","United States","United States","",""
"Turner","","","United States","United States","",""
"A. J. Watson","https://en.wikipedia.org/wiki/A._J._Watson","","United States","United States","",""
"Wetteroth","https://en.wikipedia.org/wiki/Wetteroth","","United States","United States","",""
"AE Moss","https://en.wikipedia.org/wiki/Alfred_Moss","","United Kingdom","","1954",""
"Bernard White Racing","https://en.wikipedia.org/wiki/Bernard_White_Racing","","United Kingdom","","1966–1968",""
"BMS Scuderia Italia","https://en.wikipedia.org/wiki/BMS_Scuderia_Italia","","Italy","","1988–1993",""
"British Formula One Racing Team","https://en.wikipedia.org/wiki/British_Formula_One_Racing_Team","","United Kingdom","","1977",""
"BS Fabrications","https://en.wikipedia.org/wiki/BS_Fabrications","","United Kingdom","","1976–1978",""
"Camoradi International","https://en.wikipedia.org/wiki/Camoradi_International","","United States","","1959–1961",""
"DW Racing Enterprises","https://en.wikipedia.org/wiki/DW_Racing_Enterprises","","United Kingdom","","1963–1967",""
"Ecurie Belge","https://en.wikipedia.org/wiki/Ecurie_Belge","","Belgium","","1950–1953",""
"Ecurie Bleue","https://en.wikipedia.org/w/index.php?title=Ecurie_Bleue&action=edit&redlink=1","","France","","1950, 1959–1960",""
"Ecurie Bonnier","https://en.wikipedia.org/wiki/Ecurie_Bonnier","","Sweden","","1957–1958, 1966–1971",""
"Ecurie Ecosse","https://en.wikipedia.org/wiki/Ecurie_Ecosse","","United Kingdom","","1952–1954",""
"Ecurie Espadon","https://en.wikipedia.org/wiki/Ecurie_Espadon","","Switzerland","","1950–1952",""
"Ecurie Lutetia","https://en.wikipedia.org/wiki/Ecurie_Lutetia","","France","","1950",""
"Ecurie Maarsbergen","https://en.wikipedia.org/wiki/Ecurie_Maarsbergen","","Netherlands","","1957–1964",""
"Ecurie Rosier","https://en.wikipedia.org/wiki/Ecurie_Rosier","","France","","1950–1956",""
"Enrico Platé","https://en.wikipedia.org/wiki/Enrico_Plat%C3%A9","","Switzerland","","1950–1953",""
"Equipe Banco Occidental","https://en.wikipedia.org/wiki/Emilio_de_Villota","","Spain","","1981",""
"Equipe Moss","https://en.wikipedia.org/wiki/Alfred_Moss","","United Kingdom","","1954",""
"Escuderia Bandeirantes","https://en.wikipedia.org/wiki/Escuderia_Bandeirantes","","Brazil","","1951–1953",""
"FISA","https://en.wikipedia.org/wiki/Giancarlo_Baghetti","","Italy","","1961","1"
"FR Gerard Cars","https://en.wikipedia.org/wiki/Bob_Gerard","","United Kingdom","","1950–1951, 1953–1954, 1956–1957",""
"Goldie Hexagon Racing","https://en.wikipedia.org/wiki/Goldie_Hexagon_Racing","","United Kingdom","","1974",""
"John Willment Automobiles","","","Australia","","1964–1965",""
"Matra International","https://en.wikipedia.org/wiki/Matra_International","","United Kingdom","","1968–1969","10"
"Mecom Racing Team","https://en.wikipedia.org/wiki/Mecom_Racing_Team","","United States","","1962",""
